1	20262	202606	2026 - 2nd	0.0625	0	3707	||***Required Upgrade is Now Available***||Sales Tax v7.2 is no longer being supported and must be upgraded to v7.3.  Please go to the Comptroller's EDI webpage to download and install v7.3.||The link is available at:||https://comptroller.texas.gov/taxes/file-pay/edi/||	v7.2N			
20261	q	4/20/2026									
20262	q	7/20/2026									
20263	q	10/20/2025									
20264	q	1/20/2027									
202601	m	2/20/2026									
202602	m	3/20/2026									
202603	m	4/20/2026									
202604	m	5/20/2026									
202605	m	6/22/2026									
202606	m	7/20/2026									
202607	m	8/20/2026									
202608	m	9/21/2026									
202609	m	10/20/2026									
202610	m	11/20/2026									
202611	m	12/21/2026									
202612	m	1/20/2027									
Cross Roads 	2061284	0.0175	Denton 	n/a	0	Cross Roads Mun Dev Dis	5061658	0.0025	n/a	n/a	0
Cross Roads 	n/a	0	Harrison	n/a	0	n/a	n/a	0	n/a	n/a	0
Cross Roads 	n/a	0	Henderson 	n/a	0	n/a	n/a	0	n/a	n/a	0
Cross Roads 	n/a	0	Hopkins 	4112005	0.005	n/a	n/a	0	n/a	n/a	0
Cross Roads 	n/a	0	Milam 	4166000	0.005	n/a	n/a	0	n/a	n/a	0
Cross Roads 	n/a	0	Rusk 	n/a	0	n/a	n/a	0	n/a	n/a	0
Cross Timber	2126116	0.02	Johnson 	n/a	0	n/a	n/a	0	n/a	n/a	0
Crow 	n/a	0	Wood 	4250007	0.005	n/a	n/a	0	n/a	n/a	0
Crowell 	2078016	0.0175	Foard 	n/a	0	n/a	n/a	0	n/a	n/a	0
Crowley 	2220228	0.015	Johnson 	n/a	0	Crowley Crime Control 	5220718	0.005	n/a	n/a	0
Crowley 	2220228	0.015	Tarrant 	n/a	0	Crowley Crime Control 	5220718	0.005	n/a	n/a	0
Crown 	n/a	0	Atascosa 	4007003	0.005	n/a	n/a	0	n/a	n/a	0
Cryer Creek 	n/a	0	Navarro 	4175009	0.005	n/a	n/a	0	n/a	n/a	0
Crystal Beach	n/a	0	Galveston 	n/a	0	n/a	n/a	0	n/a	n/a	0
Crystal City 	2254012	0.02	Zavala 	n/a	0	n/a	n/a	0	n/a	n/a	0
Crystal Lake 	n/a	0	Anderson 	4001009	0.005	n/a	n/a	0	n/a	n/a	0
Cuadrilla 	n/a	0	El Paso 	4071004	0.005	n/a	n/a	0	n/a	n/a	0
Cuero 	2062032	0.02	DeWitt 	n/a	0	n/a	n/a	0	n/a	n/a	0
Cumby 	2112023	0.0125	Hopkins 	4112005	0.005	n/a	n/a	0	n/a	n/a	0
Cundiff	n/a	0	Jack	n/a	0	n/a	n/a	0	n/a	n/a	0
Cuney 	2037061	0.015	Cherokee 	4037007	0.005	n/a	n/a	0	n/a	n/a	0
Cunningham 	n/a	0	Lamar 	4139004	0.005	n/a	n/a	0	n/a	n/a	0
Currie 	n/a	0	Navarro 	4175009	0.005	n/a	n/a	0	n/a	n/a	0
Cushing 	2174037	0.01	Nacogdoches 	n/a	0	Nacogdoches Co Hosp Dist	5174509	0.01	n/a	n/a	0
Cut 	n/a	0	Houston 	4113004	0.005	n/a	n/a	0	n/a	n/a	0
Cut And Shoot 	2170086	0.015	Montgomery 	n/a	0	Montgomery Co ESD 1-A	5170790	0.005	n/a	n/a	0
Cuthand 	n/a	0	Red River 	4194006	0.005	n/a	n/a	0	n/a	n/a	0
Cyclone 	n/a	0	Bell 	4014004	0.005	n/a	n/a	0	n/a	n/a	0
Cypress	n/a 	0	Harris 	n/a 	0	n/a	n/a	0	Houston MTA 	3101990	0.01
Cypress 	n/a	0	Franklin 	4080003	0.005	n/a	n/a	0	n/a	n/a	0
Cypress Bend 	n/a	0	Harris 	n/a	0	n/a	n/a	0	Houston MTA 	3101990	0.01
Cypress Creek Estates 	n/a	0	Harris 	n/a	0	n/a	n/a	0	Houston MTA 	3101990	0.01
Cypress Mill 	n/a	0	Blanco 	4016002	0.005	Blanco Co No Lib Dist 	5016510	0.005	n/a	n/a	0
D Hanis 	n/a	0	Medina 	4163003	0.005	n/a	n/a	0	n/a	n/a	0
Dacosta 	n/a	0	Victoria 	4235007	0.005	n/a	n/a	0	n/a	n/a	0
Daingerfield 	2172011	0.015	Morris 	4172002	0.005	n/a	n/a	0	n/a	n/a	0
Daisetta 	2146069	0.01	Liberty 	4146005	0.005	n/a	n/a	0	n/a	n/a	0
Dalby Springs 	n/a	0	Bowie 	4019009	0.005	n/a	n/a	0	n/a	n/a	0
Dale 	n/a	0	Caldwell 	4028008	0.005	n/a	n/a	0	n/a	n/a	0
Dalhart 	2056012	0.02	Dallam 	n/a	0	n/a	n/a	0	n/a	n/a	0
Dalhart 	2056012	0.02	Hartley 	n/a	0	n/a	n/a	0	n/a	n/a	0
Dallardsville 	n/a	0	Polk 	4187005	0.005	n/a	n/a	0	n/a	n/a	0
Dallas 	2057011	0.01	Collin 	n/a	0	n/a	n/a	0	Dallas MTA 	3057994	0.01
Dallas 	2057011	0.01	Dallas 	n/a	0	n/a	n/a	0	Dallas MTA 	3057994	0.01
Dallas 	2057011	0.01	Denton 	n/a	0	n/a	n/a	0	Dallas MTA 	3057994	0.01
Dallas 	2057011	0.01	Kaufman 	n/a	0	n/a	n/a	0	Dallas MTA 	3057994	0.01
Dallas 	2057011	0.01	Rockwall 	n/a	0	n/a	n/a	0	Dallas MTA 	3057994	0.01
Dalworthington Gardens 	2220264	0.015	Tarrant 	n/a	0	Dalworthington Gdn Cr Co	5220601	0.005	n/a	n/a	0
Dalys 	n/a	0	Houston 	4113004	0.005	n/a	n/a	0	n/a	n/a	0
Damon 	n/a	0	Brazoria 	4020006	0.005	n/a	n/a	0	n/a	n/a	0
Danbury 	2020079	0.015	Brazoria 	4020006	0.005	n/a	n/a	0	n/a	n/a	0
Danciger 	n/a	0	Brazoria 	4020006	0.005	n/a	n/a	0	n/a	n/a	0
Danevang 	n/a	0	Wharton 	4241009	0.005	n/a	n/a	0	n/a	n/a	0
Daniel 	n/a	0	Houston 	4113004	0.005	n/a	n/a	0	n/a	n/a	0
Daphne 	n/a	0	Franklin 	4080003	0.005	n/a	n/a	0	n/a	n/a	0
Darrouzett 	2148030	0.02	Lipscomb 	n/a	0	n/a	n/a	0	n/a	n/a	0
Daugherty 	n/a	0	Rains 	4190000	0.005	n/a	n/a	0	n/a	n/a	0
Davenport 	n/a	0	Red River 	4194006	0.005	n/a	n/a	0	n/a	n/a	0
Davilla 	n/a	0	Milam 	4166000	0.005	n/a	n/a	0	n/a	n/a	0
Davisville 	n/a	0	Angelina 	4003007	0.005	n/a	n/a	0	n/a	n/a	0
Davisville 	n/a	0	Leon 	4145006	0.005	n/a	n/a	0	n/a	n/a	0
Dawn 	n/a	0	Deaf Smith 	4059000	0.005	n/a	n/a	0	n/a	n/a	0
Dawson 	2175054	0.0125	Navarro 	4175009	0.005	n/a	n/a	0	n/a	n/a	0
Dayton 	2146023	0.015	Liberty 	4146005	0.005	n/a	n/a	0	n/a	n/a	0
Dayton Lakes 	n/a	0	Liberty 	4146005	0.005	n/a	n/a	0	n/a	n/a	0
De Kalb 	2019027	0.015	Bowie 	4019009	0.005	n/a	n/a	0	n/a	n/a	0
De Leon 	2047014	0.015	Comanche 	4047005	0.005	n/a	n/a	0	n/a	n/a	0
De Monte 	n/a	0	Jefferson 	4123002	0.005	n/a	n/a	0	n/a	n/a	0
De Soto 	2057182	0.02	Dallas 	n/a	0	n/a	n/a	0	n/a	n/a	0
Dean 	2039069	0.01	Clay 	n/a	0	n/a	n/a	0	n/a	n/a	0
Deanville 	n/a	0	Burleson 	4026000	0.005	n/a	n/a	0	n/a	n/a	0
Decatur 	2249010	0.015	Wise 	4249001	0.005	n/a	n/a	0	n/a	n/a	0
Decordova 	n/a	0	Hood 	4111006	0.005	n/a	n/a	0	n/a	n/a	0
Deer Park 	2101268	0.015	Harris 	n/a	0	Deer Park Crime Con Dist	5101810	0.0025	n/a	n/a	0
Defense City 	n/a	0	Bowie 	4019009	0.005	n/a	n/a	0	n/a	n/a	0
Del Rio 	2233018	0.015	Val Verde 	4233009	0.005	n/a	n/a	0	n/a	n/a	0
Delhi 	n/a	0	Caldwell 	4028008	0.005	n/a	n/a	0	n/a	n/a	0
Dell City 	2115011	0.01	Hudspeth 	n/a	0	n/a	n/a	0	n/a	n/a	0
Delrose 	n/a	0	Upshur 	4230002	0.005	n/a	n/a	0	n/a	n/a	0
Denison 	2091019	0.02	Grayson 	n/a	0	n/a	n/a	0	n/a	n/a	0
Denning 	n/a	0	San Augustine	4203005	0.005	n/a	n/a	0	n/a	n/a	0
Dennis 	2184151	0.015	Parker 	4184008	0.005	n/a	n/a	0	n/a	n/a	0
Denny 	n/a	0	Falls 	4073002	0.005	n/a	n/a	0	n/a	n/a	0
Denson Spring 	n/a	0	Anderson 	4001009	0.005	n/a	n/a	0	n/a	n/a	0
Denton 	2061024	0.015	Denton 	n/a	0	n/a	n/a	0	Denton Cta 	3061774	0.005
Denver City 	2251024	0.02	Gaines	n/a 	0	n/a 	n/a 	0	n/a 	n/a 	0
Denver City 	2251024	0.02	Yoakum 	n/a	0	n/a	n/a	0	n/a	n/a	0
Deport 	2139022	0.015	Lamar 	4139004	0.005	n/a	n/a	0	n/a	n/a	0
Deport 	2139022	0.015	Red River 	4194006	0.005	n/a	n/a	0	n/a	n/a	0
Derby 	n/a	0	Frio 	4082001	0.005	n/a	n/a	0	n/a	n/a	0
Dermott 	n/a	0	Scurry 	4208000	0.005	n/a	n/a	0	n/a	n/a	0
Detmold 	n/a	0	Milam 	4166000	0.005	n/a	n/a	0	n/a	n/a	0
Detroit 	2194051	0.015	Red River 	4194006	0.005	n/a	n/a	0	n/a	n/a	0
Devers 	2146112	0.015	Liberty 	4146005	0.005	n/a	n/a	0	n/a	n/a	0
Devine 	2163012	0.015	Medina 	4163003	0.005	n/a	n/a	0	n/a	n/a	0
Dewville 	n/a	0	Gonzales 	4089004	0.005	n/a	n/a	0	n/a	n/a	0
Dexter 	n/a	0	Cooke 	4049003	0.005	n/a	n/a	0	n/a	n/a	0
Dial 	n/a	0	Fannin 	4074001	0.005	n/a	n/a	0	n/a	n/a	0
Dialville 	n/a	0	Cherokee 	4037007	0.005	n/a	n/a	0	n/a	n/a	0
Diana 	n/a	0	Upshur 	4230002	0.005	n/a	n/a	0	n/a	n/a	0
Diboll 	2003025	0.015	Angelina 	4003007	0.005	n/a	n/a	0	n/a	n/a	0
Dicey 	n/a	0	Parker 	4184008	0.005	n/a	n/a	0	n/a	n/a	0
Dickens 	2063022	0.015	Dickens 	4063004	0.005	n/a	n/a	0	n/a	n/a	0
Dickinson 	2084125	0.015	Galveston 	n/a	0	Dickinson Mgmt Dist 	5084508	0.005	n/a	n/a	0
Dickson Cove 	n/a	0	Hunt 	4116001	0.005	n/a	n/a	0	n/a	n/a	0
Dies 	n/a	0	Tyler 	4229005	0.005	n/a	n/a	0	n/a	n/a	0
Dike 	n/a	0	Hopkins 	4112005	0.005	n/a	n/a	0	n/a	n/a	0
Dilley 	2082010	0.015	Frio 	4082001	0.005	n/a	n/a	0	n/a	n/a	0
Dilworth 	n/a	0	Gonzales 	4089004	0.005	n/a	n/a	0	n/a	n/a	0
Dime Box 	n/a	0	Lee 	4144007	0.005	n/a	n/a	0	n/a	n/a	0
Dimmitt 	2035018	0.015	Castro 	4035009	0.005	n/a	n/a	0	n/a	n/a	0
Dimple 	n/a	0	Red River 	4194006	0.005	n/a	n/a	0	n/a	n/a	0
Dinero 	n/a	0	Live Oak 	4149002	0.005	n/a	n/a	0	n/a	n/a	0
Ding Dong 	n/a	0	Bell 	4014004	0.005	n/a	n/a	0	n/a	n/a	0
Dinsmore 	n/a	0	Wharton 	4241009	0.005	n/a	n/a	0	n/a	n/a	0
Direct 	n/a	0	Lamar 	4139004	0.005	n/a	n/a	0	n/a	n/a	0
Dish	2061364	0.02	Denton 	n/a	0	n/a	n/a	0	n/a	n/a	0
Dittlinger 	n/a	0	Comal 	4046006	0.005	n/a	n/a	0	n/a	n/a	0
Divot 	n/a	0	Frio 	4082001	0.005	n/a	n/a	0	n/a	n/a	0
Dixon 	n/a	0	Hunt 	4116001	0.005	n/a	n/a	0	n/a	n/a	0
Doans 	n/a	0	Wilbarger 	4244006	0.005	n/a	n/a	0	n/a	n/a	0
Dobrowolski 	n/a	0	Atascosa 	4007003	0.005	n/a	n/a	0	n/a	n/a	0
Dodd City 	2074092	0.01	Fannin 	4074001	0.005	n/a	n/a	0	n/a	n/a	0
Dodds 	n/a	0	Fannin 	4074001	0.005	n/a	n/a	0	n/a	n/a	0
Dodge 	n/a	0	Walker 	4236006	0.005	n/a	n/a	0	n/a	n/a	0
Dogridge 	n/a	0	Bell 	4014004	0.005	n/a	n/a	0	n/a	n/a	0
Dogwood City 	n/a	0	Smith 	4212004	0.005	n/a	n/a	0	n/a	n/a	0
Dolen 	n/a	0	Liberty 	4146005	0.005	n/a	n/a	0	n/a	n/a	0
Domino 	2034055	0.02	Cass 	n/a	0	n/a	n/a	0	n/a	n/a	0
Donelton 	n/a	0	Hunt 	4116001	0.005	n/a	n/a	0	n/a	n/a	0
Donna 	2108047	0.02	Hidalgo 	n/a	0	n/a	n/a	0	n/a	n/a	0
Doole 	n/a	0	McCulloch 	4160006	0.005	McCulloch County Hospita	5160505	0.0025	n/a	n/a	0
Dorchester 	2091171	0.02	Grayson 	n/a	0	n/a	n/a	0	n/a	n/a	0
Doss 	n/a	0	Gillespie 	4086007	0.005	n/a	n/a	0	n/a	n/a	0
Dot 	n/a	0	Falls 	4073002	0.005	n/a	n/a	0	n/a	n/a	0
Double Bayou 	n/a	0	Chambers 	n/a	0	Chambers Co Health Ser 	5036507	0.005	n/a	n/a	0
Double Oak 	2061248	0.02	Denton 	n/a	0	n/a	n/a	0	n/a	n/a	0
Doucette 	n/a	0	Tyler 	4229005	0.005	n/a	n/a	0	n/a	n/a	0
Douglass 	n/a	0	Nacogdoches 	n/a	0	Nacogdoches Co Hosp Dist	5174509	0.01	n/a	n/a	0
Douglassville 	2034082	0.0025	Cass 	n/a	0	n/a	n/a	0	n/a	n/a	0
Downing 	n/a	0	Comanche 	4047005	0.005	n/a	n/a	0	n/a	n/a	0
Downsville 	n/a	0	McLennan 	4161005	0.005	n/a	n/a	0	n/a	n/a	0
Drane 	n/a	0	Navarro 	4175009	0.005	n/a	n/a	0	n/a	n/a	0
Drasco 	n/a	0	Runnels 	4200008	0.005	n/a	n/a	0	n/a	n/a	0
Draw 	n/a	0	Lynn 	4153005	0.005	n/a	n/a	0	n/a	n/a	0
Dresden 	n/a	0	Navarro 	4175009	0.005	n/a	n/a	0	n/a	n/a	0
Dreyer 	n/a	0	Gonzales 	4089004	0.005	n/a	n/a	0	n/a	n/a	0
Driftwood 	n/a	0	Hays 	4105004	0.005	Driftwood Econ Dev Mun	5105558	0.0125	n/a	n/a	0
Drip Spgs/Hays ESD 6	6105022	0.0125	Hays 	4105004	0.005	Dripping Spgs Lib Dist 	5105512	0.0025	n/a	n/a	0
Drip Spgs/Hays ESD 6A	6105040	0.0075	Hays 	4105004	0.005	Dripping Spgs Lib Dist 	5105512	0.0025	n/a	n/a	0
Dripping Springs 	2105040	0.0125	Hays 	4105004	0.005	Dripping Spgs Lib Dist 	5105512	0.0025	n/a	n/a	0
Driscoll 	2178060	0.015	Nueces 	n/a	0	n/a	n/a	0	Corpus Christi MTA	3178998	0.005
Dryden 	n/a	0	Terrell 	4222002	0.015	n/a	n/a	0	n/a	n/a	0
Dubina 	n/a	0	Fayette 	4075000	0.005	n/a	n/a	0	n/a	n/a	0
Dublin 	2072012	0.015	Erath 	4072003	0.005	n/a	n/a	0	n/a	n/a	0
Duffau 	n/a	0	Erath 	4072003	0.005	n/a	n/a	0	n/a	n/a	0
Dumas 	2171012	0.02	Moore 	n/a	0	n/a	n/a	0	n/a	n/a	0
Dunbar 	n/a	0	Rains 	4190000	0.005	n/a	n/a	0	n/a	n/a	0
Duncanville 	2057084	0.02	Dallas 	n/a	0	n/a	n/a	0	n/a	n/a	0
Dundee 	n/a	0	Archer 	4005005	0.005	n/a	n/a	0	n/a	n/a	0
Dunlay 	n/a	0	Medina 	4163003	0.005	Medina Co ESD 6	5163520	0.015	n/a	n/a	0
Dunn 	n/a	0	Scurry 	4208000	0.005	n/a	n/a	0	n/a	n/a	0
Duplex 	n/a	0	Fannin 	4074001	0.005	n/a	n/a	0	n/a	n/a	0
Durango 	n/a	0	Falls 	4073002	0.005	n/a	n/a	0	n/a	n/a	0
Duster 	n/a	0	Comanche 	4047005	0.005	n/a	n/a	0	n/a	n/a	0
Eagle Lake 	2045034	0.01	Colorado 	4045007	0.005	Rice Hospital District 	5045506	0.005	n/a	n/a	0
Eagle Pass 	2159018	0.01	Maverick 	4159009	0.005	Maverick Co Lfw And Cdc 	5159508	0.005	n/a	n/a	0
Early 	2025038	0.015	Brown 	n/a	0	Early Mun Dev Dist	5025519	0.005	n/a	n/a	0
Earlywine 	n/a	0	Washington 	4239003	0.005	n/a	n/a	0	n/a	n/a	0
Earth 	2140038	0.015	Lamb 	n/a	0	n/a	n/a	0	n/a	n/a	0
East 	n/a	0	Bowie 	4019009	0.005	n/a	n/a	0	n/a	n/a	0
East Bernard 	2241081	0.015	Wharton 	4241009	0.005	n/a	n/a	0	n/a	n/a	0
East Columbia 	n/a	0	Brazoria 	4020006	0.005	n/a	n/a	0	n/a	n/a	0
East Direct 	n/a	0	Lamar 	4139004	0.005	n/a	n/a	0	n/a	n/a	0
East Mountain 	2230048	0.01	Gregg 	4092009	0.005	n/a	n/a	0	n/a	n/a	0
East Mountain 	2230048	0.01	Upshur 	4230002	0.005	n/a	n/a	0	n/a	n/a	0
East Point 	n/a	0	Wood 	4250007	0.005	n/a	n/a	0	n/a	n/a	0
East Tawakoni 	2190019	0.015	Rains 	4190000	0.005	n/a	n/a	0	n/a	n/a	0
East Tempe 	n/a	0	Polk 	4187005	0.005	n/a	n/a	0	n/a	n/a	0
Easter 	n/a	0	Castro 	4035009	0.005	n/a	n/a	0	n/a	n/a	0
Eastgate 	n/a	0	Liberty 	4146005	0.005	n/a	n/a	0	n/a	n/a	0
Eastland 	2067046	0.015	Eastland 	n/a	0	Eastland Mem Hosp Dist 	5067509	0.005	n/a	n/a	0
Easton 	2092090	0.01	Gregg 	4092009	0.005	n/a	n/a	0	n/a	n/a	0
Easton 	2092090	0.01	Rusk 	n/a	0	Rusk ESD 1	5201524	0.02	n/a	n/a	0
Ebenezer 	n/a	0	Camp 	4032002	0.005	n/a	n/a	0	n/a	n/a	0
Eckert 	n/a	0	Gillespie 	4086007	0.005	n/a	n/a	0	n/a	n/a	0
Ector 	2074074	0.01	Fannin 	4074001	0.005	n/a	n/a	0	n/a	n/a	0
Edcouch 	2108136	0.02	Hidalgo 	n/a	0	n/a	n/a	0	n/a	n/a	0
Eddy 	n/a	0	Falls 	4073002	0.005	n/a	n/a	0	n/a	n/a	0
Eddy 	n/a	0	McLennan 	4161005	0.005	n/a	n/a	0	n/a	n/a	0
Eden 	2048013	0.015	Concho 	4048004	0.005	n/a	n/a	0	n/a	n/a	0
Edge 	n/a	0	Brazos 	4021005	0.005	n/a	n/a	0	n/a	n/a	0
Edgecliff Village 	2220308	0.01	Tarrant 	n/a	0	n/a	n/a	0	n/a	n/a	0
Edgewood 	2234035	0.02	Van Zandt 	n/a	0	n/a	n/a	0	n/a	n/a	0
Edgeworth 	n/a	0	Bell 	4014004	0.005	n/a	n/a	0	n/a	n/a	0
Edhube 	n/a	0	Fannin 	4074001	0.005	n/a	n/a	0	n/a	n/a	0
Edinburg 	2108010	0.02	Hidalgo 	n/a	0	n/a	n/a	0	n/a	n/a	0
Edmonson 	2095051	0.01	Hale 	4095006	0.005	n/a	n/a	0	n/a	n/a	0
Edna 	2120014	0.015	Jackson 	4120005	0.005	n/a	n/a	0	n/a	n/a	0
Edna Hill 	n/a	0	Erath 	4072003	0.005	n/a	n/a	0	n/a	n/a	0
Edom 	2234062	0.01	Van Zandt 	n/a	0	n/a	n/a	0	n/a	n/a	0
Egypt 	n/a	0	Montgomery 	n/a	0	Montgomery Co ESD 3 	5170594	0.02	n/a	n/a	0
Egypt 	n/a	0	Wharton 	4241009	0.005	n/a	n/a	0	n/a	n/a	0
El Campo 	2241027	0.015	Wharton 	4241009	0.005	n/a	n/a	0	n/a	n/a	0
El Campo South 	n/a	0	Wharton 	4241009	0.005	n/a	n/a	0	n/a	n/a	0
El Cenizo 	2240037	0.015	Webb 	4240000	0.005	n/a	n/a	0	n/a	n/a	0
El Indio 	n/a	0	Maverick 	4159009	0.005	Maverick Co Lfw And Cdc 	5159508	0.005	n/a	n/a	0
El Lago 	2101213	0.01	Harris 	n/a	0	n/a	n/a	0	Houston MTA 	3101990	0.01
El Paso 	2071013	0.01	El Paso 	4071004	0.005	n/a	n/a	0	El Paso CTD 	3071889	0.005
El Pleasant 	n/a	0	Austin 	4008002	0.005	n/a	n/a	0	n/a	n/a	0
Eldorado 	2207010	0.01	Schleicher 	4207001	0.005	Schleicher Co Health Ser	5207500	0.005	n/a	n/a	0
Eldorado Center 	n/a	0	Navarro 	4175009	0.005	n/a	n/a	0	n/a	n/a	0
Electra 	2243043	0.02	Wichita 	n/a	0	n/a	n/a	0	n/a	n/a	0
Elevation 	n/a	0	Milam 	4166000	0.005	n/a	n/a	0	n/a	n/a	0
Elgin 	2011016	0.015	Bastrop 	4011007	0.005	n/a	n/a	0	n/a	n/a	0
Elgin 	2011016	0.015	Travis 	n/a	0	n/a	n/a	0	n/a	n/a	0
Elgin/Bastrop ESD 1	6227098	0.02	Travis 	n/a	0	n/a	n/a	0	n/a	n/a	0
Elgin/Bastrop ESD 1-A	6011604	0.015	Travis 	n/a	0	n/a	n/a	0	n/a	n/a	0
Elgin/Travis Co ESD 13	6227089	0.02	Travis 	n/a	0	n/a	n/a	0	n/a	n/a	0
Eliasville 	n/a	0	Young 	4252005	0.005	n/a	n/a	0	n/a	n/a	0
Elk 	n/a	0	McLennan 	4161005	0.005	n/a	n/a	0	n/a	n/a	0
Elkhart 	2001036	0.0125	Anderson 	4001009	0.005	n/a	n/a	0	n/a	n/a	0
Ella 	n/a	0	Jim Wells 	4125000	0.005	n/a	n/a	0	n/a	n/a	0
Ellinger 	2075073	0.01	Fayette 	4075000	0.005	n/a	n/a	0	n/a	n/a	0
Elliot 	n/a	0	Wilbarger 	4244006	0.005	n/a	n/a	0	n/a	n/a	0
Elm Flat 	n/a	0	Navarro 	4175009	0.005	n/a	n/a	0	n/a	n/a	0
Elm Grove 	n/a	0	Cherokee 	4037007	0.005	n/a	n/a	0	n/a	n/a	0
Elm Grove 	n/a	0	Fayette 	4075000	0.005	n/a	n/a	0	n/a	n/a	0
Elm Grove 	n/a	0	San Saba 	4206002	0.005	n/a	n/a	0	n/a	n/a	0
Elm Grove 	n/a	0	Wharton 	4241009	0.005	n/a	n/a	0	n/a	n/a	0
Elm Mott 	n/a	0	McLennan 	4161005	0.005	n/a	n/a	0	n/a	n/a	0
Elmendorf 	2015192	0.015	Bexar 	n/a	0	n/a	n/a	0	San Antonio MTA 	3015995	0.005
Elmendorf 	2015192	0.015	Wilson 	n/a	0	n/a	n/a	0	San Antonio MTA 	3015995	0.005
Elmwood 	n/a	0	Anderson 	4001009	0.005	n/a	n/a	0	n/a	n/a	0
Eloise 	n/a	0	Falls 	4073002	0.005	n/a	n/a	0	n/a	n/a	0
Elsa 	2108074	0.015	Hidalgo 	n/a	0	Elsa Mun Dev Dist	5108555	0.005	n/a	n/a	0
Elstone 	n/a	0	Medina 	4163003	0.005	n/a	n/a	0	n/a	n/a	0
Elwood 	n/a	0	Fannin 	4074001	0.005	n/a	n/a	0	n/a	n/a	0
Elwood 	n/a	0	Madison 	4154004	0.005	n/a	n/a	0	n/a	n/a	0
Ely 	n/a	0	Fannin 	4074001	0.005	n/a	n/a	0	n/a	n/a	0
Emberson 	n/a	0	Lamar 	4139004	0.005	n/a	n/a	0	n/a	n/a	0
Emblem 	n/a	0	Hopkins 	4112005	0.005	n/a	n/a	0	n/a	n/a	0
Emhouse 	2175161	0.01	Navarro 	4175009	0.005	n/a	n/a	0	n/a	n/a	0
Emilee 	n/a	0	Tyler 	4229005	0.005	n/a	n/a	0	n/a	n/a	0
Emmett 	n/a	0	Navarro 	4175009	0.005	n/a	n/a	0	n/a	n/a	0
Emory 	2190037	0.015	Rains 	4190000	0.005	n/a	n/a	0	n/a	n/a	0
Encinal 	2142027	0.02	La Salle 	n/a	0	n/a	n/a	0	n/a	n/a	0
Encino 	n/a	0	Brooks 	n/a	0	Brooks Co Health Service	5024501	0.005	n/a	n/a	0
Energy 	n/a	0	Comanche 	4047005	0.005	n/a	n/a	0	n/a	n/a	0
Engle 	n/a	0	Fayette 	4075000	0.005	n/a	n/a	0	n/a	n/a	0
English 	n/a	0	Red River 	4194006	0.005	n/a	n/a	0	n/a	n/a	0
Enloe 	n/a	0	Delta 	4060007	0.005	Delta Co ESD	5060506	0.005	n/a	n/a	0
Ennis 	2070032	0.0175	Ellis 	n/a	0	Ennis Crime Ctrl Dist	5070513	0.0025	n/a	n/a	0
Enoch 	n/a	0	Upshur 	4230002	0.005	n/a	n/a	0	n/a	n/a	0
Enochs 	n/a	0	Bailey 	4009001	0.005	n/a	n/a	0	n/a	n/a	0
Enterprise 	n/a	0	Cherokee 	4037007	0.005	n/a	n/a	0	n/a	n/a	0
Eola 	n/a	0	Concho 	4048004	0.005	n/a	n/a	0	n/a	n/a	0
Era 	n/a	0	Cooke 	4049003	0.005	n/a	n/a	0	n/a	n/a	0
Erath	n/a	0	McLennan 	4161005	0.005	n/a	n/a	0	n/a	n/a	0
Error Tax 	2254995	0.01	Error Tax 	4999968	0.005	Error SPD 	5888506	0.00125	Error Tax 	3999986	0.0025
Erwin 	n/a	0	Grimes 	4093008	0.005	n/a	n/a	0	n/a	n/a	0
Escobares 	2214075	0.02	Starr 	n/a	0	n/a	n/a	0	n/a	n/a	0
Esseville 	n/a	0	Live Oak 	4149002	0.005	n/a	n/a	0	n/a	n/a	0
Estacado 	n/a	0	Lubbock 	4152006	0.005	n/a	n/a	0	n/a	n/a	0
Estelline 	2096023	0.02	Hall 	n/a	0	n/a	n/a	0	n/a	n/a	0
Estes 	n/a	0	Aransas 	4004006	0.005	Aransas Co Health Serv 	5004505	0.005	n/a	n/a	0
Estes Addition 	n/a	0	Wise 	4249001	0.005	n/a	n/a	0	n/a	n/a	0
Etoile 	n/a	0	Nacogdoches 	n/a	0	Nacogdoches Co Hosp Dist	5174509	0.01	n/a	n/a	0
Euless 	2220166	0.0175	Tarrant 	n/a	0	Euless Crime Control Dis	5220521	0.0025	n/a	n/a	0
Eulogy 	n/a	0	Bosque 	4018000	0.005	n/a	n/a	0	n/a	n/a	0
Eureka 	2175134	0.01	Navarro 	4175009	0.005	n/a	n/a	0	n/a	n/a	0
Eustace 	2107075	0.01	Henderson 	n/a	0	n/a	n/a	0	n/a	n/a	0
Evant 	2097031	0.0125	Coryell 	4050009	0.005	Evant Mun Dev Dist 	5097503	0.0025	n/a	n/a	0
Evant 	2097031	0.0125	Hamilton 	4097004	0.005	Evant Mun Dev Dist 	5097503	0.0025	n/a	n/a	0
Evergreen 	n/a	0	San Jacinto 	4204004	0.005	n/a	n/a	0	n/a	n/a	0
Everman 	2220246	0.0175	Tarrant 	n/a	0	Everman Crime Control 	5220692	0.0025	n/a	n/a	0
Ewell 	n/a	0	Upshur 	4230002	0.005	n/a	n/a	0	n/a	n/a	0
Eylau 	n/a	0	Bowie 	4019009	0.005	n/a	n/a	0	n/a	n/a	0
Fabens 	n/a	0	El Paso 	4071004	0.005	El Paso Co ESD 2 	5071503	0.005	n/a	n/a	0
